year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
1996,Germany,25,2625,17984.11,22039.35,14544.29,395262.01,40215.98,Europe
1996,"Hong Kong, SAR China",3,8,0.4,35.57,203.34,586.02,99.8,Asia Pacific
1996,Ireland,9,577,1028.01,1335.98,2833.23,30739.89,4028.06,Europe
1996,Israel,8,34,175.36,137.83,353.19,2648.17,341.59,Other
1996,Italy,5,52,441.79,6435.05,22642.44,75118.04,13355.52,Europe
1996,Japan,223,18248,39737.61,66183.45,8551.84,1746679.97,165804.7,Asia Pacific
1996,Luxembourg,1,10,0,31.09,592.66,741.14,80.1,Europe
1996,Netherlands,12,840,3637.86,5013.16,6894.23,106934.69,7939.65,Europe
1996,New Zealand,1,6,0,49.39,527.47,542.9,88.85,Asia Pacific
1996,Norway,5,39,266.12,2946.01,4571.49,18571.45,4306.27,Europe
1996,Singapore,2,7,85.16,38.2,421.46,1689.24,46.19,Asia Pacific
1996,South Korea,10,909,206.6,24137.97,13178.56,85969.55,16817.71,Asia Pacific
1996,Spain,2,4,205,6897,29240,31855,9914,Europe
1996,Sweden,12,324,5251.58,5010.17,6209.79,78298.01,9108.67,Europe
1996,Switzerland,13,727,8558.7,7831.71,12499.5,137155.6,21071.31,Europe
1996,Taiwan,5,94,140.41,1382.21,1033.79,4238.84,1355.05,Asia Pacific
1996,United Kingdom,37,986,8662.4,20956.82,8494.76,291238.81,44999.5,Europe
1996,United States,1308,25227,97566.62,247962.78,3087.38,3052951.85,543179.74,North America
1997,Antigua and Barbuda,1,4,0,21.59,219.71,211.85,40.38,North America
1997,Australia,8,78,236.63,6639.74,6456.63,30627.89,4619.1,Asia Pacific
1997,Belgium,4,181,318.37,946.39,2773.18,9625.54,1449.61,Europe
1997,Bermuda,1,1,0,0,NaN,0,0,North America
1997,Brazil,2,10,219.87,3296.81,24755.8,22139.88,3880.28,Other
1997,Canada,61,299,2730.01,8051.85,2207.42,75034.36,15966.87,North America
1997,Cayman Islands,1,2,2.52,0.97,0,5.43,-4.2,North America
1997,China,1,2,2.49,2.5,20.71,12.47,-5.44,Asia Pacific
